Location,	Name,					Latitude,			Longitude,
A,			Eary Approach, 			47.641482370883864,	-122.14036499180827,
B,			Approach intersection,	47.64254900577103,	-122.14036358759651,
C,			Turn right,				47.64261369134199,	-122.14022863966349,
D,			Right, End of Street,	47.642632115856806,	-122.13892325834075,
E,			Turn Left,				47.642635167315994,	-122.14049925386175,
F, 			Left, end of street,	47.642634517703016,	-122.14203898419318,
